company_name,domain,category,headquarters,regions_served,company_size,ownership_stage,ai_relevance_note,event_behavior_note,buyer_fit_note,trust_fit_note,ai_relevance_score,event_sponsorship_behavior_score,executive_audience_fit_score,mojo_model_fit_score,commercial_readiness_score,contactability_score,primary_contact_name,primary_contact_title,primary_contact_email,executive_contact_name,executive_contact_title,executive_contact_email,warm_path,evidence_urls,event_fit_tags,stage,owner,next_action,next_action_date,notes,disqualification_reason
"AWS","aws.amazon.com","Cloud AI platform","Seattle, WA","Global","Enterprise","Public company","Comprehensive cloud and generative AI platform for organizations of every size and industry.","Listed as Platinum sponsor at The AI Summit London 2026 and also appears on AI Infra Summit 2026 sponsor list.","Strong fit for CIO, CTO, CISO, data, operations, finance, and transformation audiences.","High value if framed around enterprise AI operating models and implementation lessons rather than generic cloud promotion.","20","20","20","18","9","7","","Field Marketing / Executive Programs / AWS Partner Marketing","","","CMO / VP Global Events / GenAI executive sponsor","","","https://partners.london.theaisummit.com/; https://www.ai-infra-summit.com/sponsors","AI Executive Readiness; AI Integration and Workflow; AI Operating Model for 2027","priority","Research","Find named regional field marketing and executive programs contacts; draft Strategic Intelligence Partner angle.","","Likely top-tier target, but needs conflict/category strategy because AWS can dominate a room.",""
"HPE & NVIDIA","hpe.com","AI infrastructure partnership","Houston, TX / Santa Clara, CA","Global","Enterprise","Public companies","Joint enterprise AI factory and accelerated computing offering for production AI systems.","Listed as Diamond sponsor at The AI Summit London 2026.","Strong fit for CIO, CTO, infrastructure, data center, and AI platform leaders.","Good fit for infrastructure-focused executive briefings if participation is practical and not hardware-demo heavy.","20","19","19","18","9","6","","Alliance Marketing / Field Marketing / Executive Briefing Programs","","","AI infrastructure executive sponsor","","","https://partners.london.theaisummit.com/","AI Integration and Workflow; AI Operating Model for 2027","priority","Research","Map HPE/NVIDIA alliance marketing owners and decide whether to approach jointly or separately.","","Use as model for AI infrastructure partner category.",""
"CoreWeave","coreweave.com","AI cloud infrastructure","Roseland, NJ","Global","Large growth company","Public company","Purpose-built AI cloud platform for training, inference, and high-performance AI workloads.","Listed as Gold sponsor at The AI Summit London 2026.","Strong fit for AI infrastructure, CIO, CTO, data science, and AI platform leaders.","Strong sponsor fit if framed around AI compute economics and scalable AI operations.","20","18","18","18","9","6","","Field Marketing / VP Marketing / Partner Marketing","","","CEO / CRO / CMO","","","https://partners.london.theaisummit.com/","AI Use Cases That Survive Finance; AI Integration and Workflow; AI Operating Model for 2027","priority","Research","Find marketing owner for enterprise events and draft AI compute economics angle.","","High-growth AI infrastructure target.",""
"Airia","airia.com","Enterprise AI orchestration and governance","Orlando, FL","Global","Growth company","Private company","Enterprise AI security, orchestration, and governance platform for deploying AI safely at scale.","Listed at The AI Summit London 2026 and as Global Partner at World Summit AI Amsterdam 2026.","Strong fit for CIO, CISO, governance, operations, and regulated-industry buyers.","Excellent fit for trust-first model because governance and operationalization are central to Mojo themes.","20","19","18","20","8","7","","Head of Marketing / Field Marketing / Partnerships","","","CEO / CMO / CRO","","","https://partners.london.theaisummit.com/; https://worldsummit.ai/commercial-partners/","AI Security, Governance, and Trust; AI Operating Model for 2027","priority","Research","Find named CMO or field marketing owner; propose governance council contribution.","","One of the cleanest fits for Strategic Intelligence Partner positioning.",""
"KPMG UK","kpmg.com/uk","AI consulting and transformation","London, UK","Global","Enterprise","Private partnership","Professional services firm delivering AI-powered enterprise transformation with governance, ethics, and security emphasis.","Listed as Platinum sponsor at The AI Summit London 2026.","Strong fit for CEOs, CIOs, CFOs, boards, risk, operations, and transformation leaders.","Good fit if positioned as advisory insight, not generic consulting lead generation.","18","19","20","18","8","6","","AI Marketing / Alliances / Partner Marketing","","","AI practice leader / Managing Partner","","","https://partners.london.theaisummit.com/","AI Executive Readiness; AI Use Cases That Survive Finance; AI Operating Model for 2027","priority","Research","Find US regional AI practice and field marketing contacts for Dallas and virtual series.","","Could be approached by region and industry vertical.",""
"SAP","sap.com","Enterprise software and business AI","Walldorf, Germany","Global","Enterprise","Public company","SAP Business AI positions AI inside enterprise workflows and business applications.","Listed as Global Partner at World Summit AI Amsterdam 2026.","Strong fit for CFO, CIO, COO, supply chain, procurement, HR, and operations audiences.","Strong fit if conversation centers on AI in systems of record and operating workflow.","19","18","20","18","8","6","","Field Marketing / SAP Business AI Marketing / Partner Marketing","","","Business AI executive sponsor","","","https://worldsummit.ai/commercial-partners/","AI Integration and Workflow; AI Operating Model for 2027","priority","Research","Find SAP Business AI field/event contact and draft ERP-to-AI operating model angle.","","Very strong for executive workflow and systems integration topics.",""
"LangChain","langchain.com","Agent engineering platform","San Francisco, CA","Global","Growth company","Private company","Agent engineering platform with LangSmith for observability, evaluation, and deployment.","Official Networking Partner at World Summit AI Amsterdam 2026.","Strong fit for technical executives, AI platform teams, developers, and innovation leaders.","Good fit for advanced executive/technical bridge, especially if paired with governance/evaluation discussion.","20","18","16","18","8","7","","Developer Relations / Growth Marketing / Field Marketing","","","CEO / Head of GTM","","","https://worldsummit.ai/commercial-partners/","AI Integration and Workflow; AI Operating Model for 2027","priority","Research","Find events or developer relations owner; draft agent systems and evaluation angle.","","Useful for technical credibility in agentic AI conversations.",""
"Glean","glean.com","Work AI and enterprise search","Palo Alto, CA","Global","Growth company","Private company","Work AI platform connecting and securing company knowledge with enterprise search, apps, agents, and assistants.","Listed as Gold Partner at World Summit AI Amsterdam 2026.","Strong fit for CIO, CHRO, operations, knowledge management, and productivity leaders.","Strong fit for practical enterprise AI readiness and internal knowledge workflows.","19","18","18","18","8","7","","Field Marketing / Demand Generation / Events","","","CMO / CRO","","","https://worldsummit.ai/commercial-partners/","AI Executive Readiness; AI Integration and Workflow","priority","Research","Find named field marketing owner; draft enterprise knowledge and adoption angle.","","Good sponsor for executive productivity/use-case event.",""
"Camunda","camunda.com","Agentic process orchestration","Berlin, Germany","Global","Large growth company","Private company","Enterprise platform for coordinating AI agents, people, and systems across complex business processes with governance and auditability.","Listed as Gold Partner at World Summit AI Amsterdam 2026.","Strong fit for CIO, COO, process, automation, architecture, and transformation leaders.","Excellent fit for workflow, integration, and governance discussions.","20","18","18","19","8","7","","Field Marketing / Partner Marketing / Events","","","CMO / CTO / Product executive","","","https://worldsummit.ai/commercial-partners/","AI Integration and Workflow; AI Security, Governance, and Trust; AI Operating Model for 2027","priority","Research","Find US field marketing and executive sponsor; draft agentic orchestration angle.","","High-fit workflow category prospect.",""
"Collibra","collibra.com","Data governance and AI control plane","Brussels, Belgium","Global","Large growth company","Private company","Enterprise AI Control Plane for governing context and control across data, models, and agents.","Listed as Gold Partner at World Summit AI Amsterdam 2026.","Strong fit for CIO, CDO, governance, risk, compliance, and data leaders.","Excellent fit for trust, governance, and enterprise AI foundation sessions.","20","18","19","20","8","7","","Field Marketing / Data Governance Marketing / Events","","","CMO / Chief Data Strategy executive","","","https://worldsummit.ai/commercial-partners/","AI Security, Governance, and Trust; AI Operating Model for 2027","priority","Research","Find field marketing and data governance executive contact; draft AI control-plane angle.","","Should be high priority for governance event.",""
